Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	023541	16:01:00,180.112.490	133	-2.062	9.490	1.463	9.961	13.544	4.141	15.443	0.311
1	023551	16:01:00,251.418.880	1457	1.494	-37.439	2.747	3.737	21.396	20.829	19.660	1.340
1	023552	16:01:00,255.425.050	85	2.404	9.431	1.306	5.949	4.430	3.622	25.861	0.957
1	023565	16:01:00,307.419.740	190	12.448	125.123	1.779	4.643	28.443	10.019	8.633	0.360
1	023574	16:01:00,348.141.180	39	1.351	27.929	1.136	1.659	28.787	16.613	1.837	0.615
1	023594	16:01:00,425.888.620	62	0.257	-1.222	1.150	2.168	26.661	1.184	1.646	0.044
1	023606	16:01:00,497.959.300	47	3.041	110.238	0.898	2.250	35.244	34.434	4.879	1.356
1	023612	16:01:00,530.323.010	3555	1.239	-35.971	1.629	3.258	23.557	22.587	18.642	1.283
1	023620	16:01:00,574.843.930	96	-0.384	0.896	0.861	2.349	12.978	0.837	1.601	0.065
1	023631	16:01:00,653.408.290	146	0.447	-17.360	1.269	4.773	16.028	15.851	26.246	1.422
1	023649	16:01:00,742.856.580	130	0.873	9.381	1.346	2.482	15.137	7.068	3.519	0.486
1	023671	16:01:00,882.619.040	156	-0.975	10.387	1.842	7.213	17.887	7.439	18.534	0.429
1	023680	16:01:00,954.177.300	184	0.084	22.986	0.887	2.113	32.319	22.906	4.755	0.788
1	023711	16:01:01,094.888.370	76	0.080	19.588	1.015	2.422	22.001	19.526	5.978	1.092
1	023715	16:01:01,108.112.300	124	-5.447	-10.904	1.524	2.751	28.175	1.969	2.933	0.070
1	023720	16:01:01,128.042.790	248	0.159	-10.018	1.751	2.529	23.153	9.894	6.098	0.442
1	023731	16:01:01,198.467.340	355	0.574	-3.977	1.364	3.762	4.085	3.450	16.962	1.005
1	023748	16:01:01,269.474.550	85	3.930	53.535	0.769	1.997	21.418	13.201	2.900	0.664
1	023766	16:01:01,364.755.630	46	5.595	12.641	0.876	19.548	9.356	2.224	25.987	0.240
1	023776	16:01:01,414.856.170	92	46.038	1696.588	1.009	2.163	36.910	36.843	4.494	1.510
1	023799	16:01:01,503.737.050	83	-3.444	-127.831	1.052	1.547	37.043	35.640	3.055	1.295
1	023852	16:01:01,727.738.600	59	-0.441	-12.019	0.800	2.737	14.152	10.997	5.960	0.890
1	023857	16:01:01,755.708.900	60	0.690	-1.082	1.132	2.095	1.427	0.891	4.045	0.674
1	023869	16:01:01,833.262.080	106	0.915	-4.187	1.000	3.313	18.331	3.089	1.850	0.169
1	023880	16:01:01,873.459.380	81	1.308	-19.002	0.729	3.033	24.248	11.541	3.495	0.496
