Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	001355	15:59:08,548.906.010	327	1.231	-51.515	1.264	3.128	33.935	32.483	18.102	1.277
1	001363	15:59:08,581.360.540	344	-1.125	1.664	4.989	15.743	28.314	1.106	17.685	0.039
1	001412	15:59:08,808.870.060	64	0.414	-0.000	0.000	3.134	13.359	0.000	0.000	0.000
1	001424	15:59:08,849.725.950	892	-0.632	4.682	2.330	3.775	15.560	3.958	12.223	0.257
1	001438	15:59:08,938.949.930	295	0.150	4.349	2.745	7.499	31.690	4.301	13.850	0.136
1	001446	15:59:08,983.912.560	571	62.071	1031.368	1.783	3.410	19.640	16.614	16.691	1.008
1	001457	15:59:09,063.948.780	51	-0.123	21.089	0.922	2.020	24.463	20.931	2.756	1.027
1	001463	15:59:09,089.773.900	201	0.144	-12.130	1.071	1.789	29.900	12.006	4.008	0.413
1	001486	15:59:09,217.025.690	96	1.397	9.235	1.288	2.339	12.834	5.375	2.881	0.432
1	001515	15:59:09,333.233.720	59	-0.493	11.021	1.507	1.803	30.253	9.885	3.067	0.333
1	001519	15:59:09,383.253.060	90	-0.283	10.551	0.905	1.745	18.238	10.153	1.543	0.590
1	001525	15:59:09,399.325.950	68	0.564	4.764	0.808	3.014	27.945	4.150	1.104	0.149
1	001542	15:59:09,481.135.880	74	0.161	2.231	1.719	12.474	15.078	2.202	5.771	0.147
1	001543	15:59:09,483.352.270	172	0.641	-21.706	0.905	2.714	26.076	18.275	5.506	0.777
1	001553	15:59:09,516.844.150	60	0.249	8.761	1.749	4.934	26.488	8.502	5.164	0.327
1	001568	15:59:09,605.295.770	103	0.155	29.654	1.446	2.612	29.404	29.304	7.626	1.488
1	001583	15:59:09,703.277.640	139	0.380	-23.431	1.092	2.036	27.923	21.901	3.309	0.902
1	001596	15:59:09,815.516.410	142	0.628	-30.806	1.681	2.249	26.594	26.091	5.710	1.376
1	001620	15:59:09,966.316.840	274	-0.092	17.147	1.780	3.491	28.032	17.075	8.405	0.655
1	001630	15:59:10,033.829.540	174	4.328	93.996	1.985	2.386	21.170	21.159	7.391	1.538
1	001666	15:59:10,219.706.810	110	-0.219	5.371	1.755	4.060	5.389	5.247	16.423	1.341
1	001690	15:59:10,424.670.050	114	0.989	2.249	1.412	1.664	22.152	1.599	3.751	0.072
1	001696	15:59:10,451.680.300	49	-0.132	-0.157	0.970	1.964	18.187	0.155	1.125	0.009
1	001706	15:59:10,489.277.700	147	-0.152	1.186	1.600	2.383	6.407	1.173	3.798	0.184
1	001722	15:59:10,590.807.970	141	-0.319	6.101	1.864	5.859	24.608	5.813	7.433	0.238
1	001726	15:59:10,608.108.040	106	-1.508	32.896	0.876	2.373	18.407	18.178	7.100	1.413
1	001733	15:59:10,637.305.410	101	-16.394	152.413	1.677	3.233	9.738	9.279	9.176	1.263
1	001770	15:59:10,811.772.390	101	0.232	-2.285	1.294	2.045	5.164	2.226	2.764	0.446
1	001785	15:59:10,855.751.940	169	2.445	-57.548	0.972	7.142	29.306	21.786	33.690	0.838
1	001814	15:59:11,001.844.650	805	0.081	-0.327	2.301	4.369	19.360	0.326	11.023	0.017
1	001826	15:59:11,050.805.410	123	-0.389	-14.565	1.274	2.487	13.666	13.574	7.169	1.455
1	001856	15:59:11,165.430.020	1070	-1.056	-7.283	1.564	13.131	5.899	5.007	154.709	1.014
1	001880	15:59:11,272.907.380	50	6.590	-66.940	1.230	1.991	28.824	10.043	1.933	0.356
1	001881	15:59:11,281.698.670	47	-6.978	109.724	0.936	1.789	25.061	15.564	2.967	0.670
1	001896	15:59:11,338.823.670	125	2.227	27.528	1.505	1.646	21.718	11.276	2.915	0.546
